UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,Duração (minutos) até 130kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
MAI-00026-02,Maia,"Rua Engº Frederico Ulrich, 3369",KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Em uso
MTS-00052-02,Matosinhos,"Rua Brito e Cunha, 810 ",KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Em uso
PRT-00030-2,Porto,Campo 24 de Agosto,EVC - Evce,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
PRT-00048-02,Porto,Rua da Constituição 666,KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
PRT-00153-02,Porto,Estrada Exterior da Circunvalação (EN 12),KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Em uso
PRT-00154-02,Porto,"Rua Central de Francos, 744-758",KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
PRT-00156-02,Porto,"Rua do Lidador, 109 -111",KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
VLG-00022-02,Valongo,Gaveto - Praceta de Moçambique,KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
PRT-00172-02,Porto,"Estr. da CircunvalaÃ§Ã£o 12 843,",KLC - Atlante,5.912,93,30,"€0,2964/charge ","€0,06/min ",,CABLE,Disponível
MTS-00011-02,Matosinhos,Amieira Via Norte EN13 KM 0.76,EDP - EDP Comercial,5.913,56,50,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
MAI-00005-02,Maia,Rua do Barreiro,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
PRT-00051-02,Porto,Estrada da Circunvalação 10853,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
PRT-00052-02,Porto,Avenida do Parque,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Em uso
PRT-00068-02,Porto,Rua Leonardo Coimbra 152-156,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Fora de Serviço
PRT-00101-2,Porto,Rua Engenheiro Ferreira Dias,PRI - Prio,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
VLG-00002-02,Valongo,R. Tristão Vaz Teixeira 260,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
VNG-00059-02,Vila Nova de Gaia,Rua do Jardim,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,SOCKET,Disponível
VNG-00060-02,Vila Nova de Gaia,Rua da Bélgica,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
VNG-00070-02,Vila Nova de Gaia,R. Pte. Pereiro 879,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
GDM-00017-01,Gondomar,R. Fernão de Magalhães 584,EDP - EDP Comercial,5.967,35,90,"€0,297/charge ","€0,07/kWh ","€0,09/min ",SOCKET,Disponível
GDM-00018-01,Gondomar,Rua Dr. Carlos Moura Guedes N51,EDP - EDP Comercial,5.967,35,90,"€0,297/charge ","€0,07/kWh ","€0,09/min ",SOCKET,Disponível
MTS-00046-01,Matosinhos,Rua Heróis de França 905,EDP - EDP Comercial,5.967,35,90,"€0,297/charge ","€0,07/kWh ","€0,09/min ",SOCKET,Disponível
VNG-00068-01,Vila Nova de Gaia,McDonald´s - Gaia,EDP - EDP Comercial,5.967,35,90,"€0,297/charge ","€0,07/kWh ","€0,09/min ",CABLE,Disponível
VNG-00032-02,Vila Nova de Gaia,R. 28 de Janeiro,KLC - Atlante,6.174,65,43,"€0,2964/charge ","€0,09/min ",,CABLE,Disponível
VNG-00045-02,Vila Nova de Gaia,Rua Rio do PaÃ§o,KLC - Atlante,6.178,56,50,"€0,11/min ",,,CABLE,Disponível
VNG-00107-02,Vila Nova de Gaia,"R. Dona Maria da Costa Basto 16,",KLC - Atlante,6.178,56,50,"€0,11/min ",,,CABLE,Disponível
VLG-00021-01,Valongo,Rua José Regio nº20,EDP - EDP Comercial,6.317,35,120,"€0,297/charge ","€0,07/kWh ","€0,1/min ",CABLE,Disponível
PRT-00181-01,Porto,R. Sra. do Porto 930,HRZ - Power dot,6.348,35,80,"€0,3/charge ","€0,09/kWh ","€0,08/min ",CABLE,Disponível
PRT-00181-05,Porto,R. Sra. do Porto 930,HRZ - Power dot,6.348,35,80,"€0,3/charge ","€0,09/kWh ","€0,08/min ",CABLE,Disponível
PRT-00181-04,Porto,R. Sra. do Porto 930,HRZ - Power dot,6.348,35,80,"€0,3/charge ","€0,09/kWh ","€0,08/min ",CABLE,Em uso
PRT-00173-01,Porto,Estr. da Circunvalação 10853,HRZ - Power dot,6.700,35,100,"€0,3/charge ","€0,1/kWh ","€0,08/min ",CABLE,Disponível
MTS-00113-01,Matosinhos,"Travessa da Bataria, 135, Leça da Palmeira",PRI - Prio,6.852,93,30,"€0,3/charge ","€0,07/min ",,CABLE,Disponível
FEUP-00001-02,Porto,FEUP - Rua Roberto Frias,GLP - Galp,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
FEUP-00002-02,Porto,FEUP - Rua Roberto Frias,GLP - Galp,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
GDM-00011-02,Gondomar,Av.General Humberto Delgado,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
MTS-00024-02,Matosinhos,Posto Galp Torres e Vaz,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
MTS-00029-02,Matosinhos,Posto Galp V.Rapida Nascente,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
MTS-00031-02,Matosinhos,"Estrada Ext. Da Circunvalação En 12 Km 0,7",GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
MTS-00032-02,Matosinhos,Rua Mário Brito,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
MTS-00038-02,Matosinhos,Av. Mario de Brito S/N,GLP - Galp,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
PRT-00013-02,Porto,Avenida da França,MLT - Mobiletric,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
PRT-00019-02,Porto,Av. Sidónio Pais,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
PRT-00036-02,Porto,"Rua de 9 de Julho, Nr 40",MLT - Mobiletric,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
PRT-00037-02,Porto,"Rua de 9 de Julho, Nr 40",MLT - Mobiletric,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
PRT-00098-02,Porto,Rua de Sá da Bandeira,GLP - Galp,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
PRT-00106-02,Porto,Rua de Sá da Bandeira,GLP - Galp,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
PRT-00127-02,Porto,Rua de Entrecampos,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Em uso
PRT-00128-02,Porto,"Estrada Exterior da Circunvalação, 82-130",GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Fora de Serviço
PRT-00171-02,Porto,RUA DO GÓLGOTA,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
VNG-00019-02,Vila Nova de Gaia,Avenida Vasco Da Gama,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
GDM-00013-02,Gondomar,"Rua Fernão de Magalhães, 431",REP - Repsol,7.000,56,50,"€0,261/charge ","€0,12/min ",,CABLE,Disponível
PRT-00097-02,Porto,Rua Conde da Covilhã,REP - Repsol,7.000,56,50,"€0,261/charge ","€0,12/min ",,CABLE,Disponível
PRT-00132-02,Porto,Avenida Fernão de Magalhães,REP - Repsol,7.000,56,50,"€0,261/charge ","€0,12/min ",,CABLE,Disponível
PRT-00133-02,Porto,Avenida Marechal Gomes da Costa,REP - Repsol,7.000,56,50,"€0,261/charge ","€0,12/min ",,CABLE,Disponível
PRT-00185-02,Porto,"PRAÇA DOUTOR FRANCISCO SÁ CARNEIRO, PORTO",GLP - Galp,7.000,56,50,"€0,261/charge ","€0,12/min ",,CABLE,Disponível
PRT-00186-02,Porto,"PRAÇA DOUTOR FRANCISCO SÁ CARNEIRO, PORTO",GLP - Galp,7.000,56,50,"€0,261/charge ","€0,12/min ",,CABLE,Em uso
VNG-00072-01,Vila Nova de Gaia,"Área de Serviço de V. N. de Gaia, A1 km 295,7",EDP - EDP Comercial,7.027,35,120,"€0,297/charge ","€0,08/kWh ","€0,11/min ",CABLE,Disponível
VNG-00073-01,Vila Nova de Gaia,"Área de Serviço de V. N. de Gaia, A1 km 295,7",EDP - EDP Comercial,7.027,35,120,"€0,297/charge ","€0,08/kWh ","€0,11/min ",CABLE,Disponível
GDM-00019-01,Gondomar,"Rua Nossa Srª do Amparo, nº 1033",EDP - EDP Comercial,7.029,46,60,"€0,297/charge ","€0,07/kWh ","€0,09/min ",CABLE,Disponível
MAI-00028-01,Maia,"Via Periférica c/Av. Sts de Leite, L de Cat.",EDP - EDP Comercial,7.029,46,60,"€0,297/charge ","€0,07/kWh ","€0,09/min ",CABLE,Disponível
VLG-00011-02,Valongo,Av. José Joaquim Ribeiro Teles 280,PRI - Prio,7.320,56,50,"€0,3/charge ","€0,125/min ",,CABLE,Disponível
VNG-00034-1,Vila Nova de Gaia,Rua da Baiza,PRI - Prio,7.320,56,50,"€0,3/charge ","€0,125/min ",,CABLE,Disponível
VNG-00043-2,Vila Nova de Gaia,Avenida Poeta Eugénio de Andrade,PRI - Prio,7.320,56,50,"€0,3/charge ","€0,125/min ",,CABLE,Disponível
MAI-00025-04,Maia,R. Central de Mandim,HRZ - Power dot,7.400,35,100,"€0,3/charge ","€0,1/kWh ","€0,1/min ",CABLE,Em uso
MAI-00025-03,Maia,R. Central de Mandim,HRZ - Power dot,7.400,35,100,"€0,3/charge ","€0,1/kWh ","€0,1/min ",CABLE,Disponível
MAI-00025-01,Maia,R. Central de Mandim,HRZ - Power dot,7.400,35,150,"€0,3/charge ","€0,1/kWh ","€0,1/min ",CABLE,Em uso
MAI-00025-02,Maia,R. Central de Mandim,HRZ - Power dot,7.400,35,150,"€0,3/charge ","€0,1/kWh ","€0,1/min ",CABLE,Em uso
MAI-00025-06,Maia,R. Central de Mandim,HRZ - Power dot,7.400,35,100,"€0,3/charge ","€0,1/kWh ","€0,1/min ",SOCKET,Disponível
MAI-00025-08,Maia,R. Central de Mandim,HRZ - Power dot,7.400,35,100,"€0,3/charge ","€0,1/kWh ","€0,1/min ",SOCKET,Disponível
MAI-00013-02,Maia,Estrada Nacional 14,HLX - Helexia,8.116,56,50,"€2,5/charge ",€0/min ,"€0,1/min após 25min ",CABLE,Disponível
MTS-00104-02,Matosinhos,"Rua de Goa, 2",IBD - Iberdrola,9.010,35,180,"€0,26/charge ","€0,25/min ",,CABLE,Disponível
PRT-00139-1,Porto,"Alameda Basílio Teles, 29",GRC - Evaz,9.046,35,180,"€0,2964/charge ","€0,25/min ",,CABLE,Disponível
VNG-00066-02,Vila Nova de Gaia,"A1, km 295,7 Sentido Sul/Norte",EDP - EDP Comercial,9.147,35,160,"€0,297/charge ","€0,1/kWh ","€0,15/min ",CABLE,Disponível
VNG-00067-02,Vila Nova de Gaia,"A1, km 295,7 Sentido Norte/Sul",EDP - EDP Comercial,9.147,35,160,"€0,297/charge ","€0,1/kWh ","€0,15/min ",CABLE,Disponível
MTS-00051-01,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.000,35,120,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
MTS-00051-02,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.000,35,120,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
VLG-00024-01,Valongo,R. TristÃ£o Vaz Teixeira 260,HRZ - Power dot,10.000,35,120,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
VLG-00024-02,Valongo,R. TristÃ£o Vaz Teixeira 260,HRZ - Power dot,10.000,35,120,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
MTS-00051-04,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
MTS-00051-07,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",SOCKET,Disponível
MTS-00051-06,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",SOCKET,Em uso
MTS-00051-05,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
MTS-00051-08,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",SOCKET,Disponível
MTS-00051-03,Matosinhos,Avenida Arqº Fernando Távora 1343,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
VLG-00024-05,Valongo,R. TristÃ£o Vaz Teixeira 260,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
VLG-00024-03,Valongo,R. TristÃ£o Vaz Teixeira 260,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
VLG-00024-04,Valongo,R. TristÃ£o Vaz Teixeira 260,HRZ - Power dot,10.002,35,80,"€0,3/charge ","€0,25/kWh ","€0,02/min ",CABLE,Disponível
MTS-00053-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,12.861,46,60,"€0,2608/charge ","€0,35/kWh ",€0/min ,CABLE,Em uso
GDM-00031-02,Gondomar,R. Pedro Álvares Cabral,GLG - Galpgeste,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
GDM-00031-01,Gondomar,R. Pedro Álvares Cabral,GLG - Galpgeste,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
MAI-00036-01,Maia,R. Dom Afonso Henriques 3965,GLG - Galpgeste,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
MAI-00036-02,Maia,R. Dom Afonso Henriques 3965,GLG - Galpgeste,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
MTS-00047-02,Matosinhos,"Rua de Brito Capel 951, 4450-077 Matosinhos",GLG - Galpgeste,13.100,35,90,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
MTS-00048-02,Matosinhos,"Rua de Brito Capel 951, 4450-077 Matosinhos",GLG - Galpgeste,13.100,35,90,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Em uso
MTS-00094-02,Matosinhos,ESTRADA EXT. DA CIRCUNVALAÇÃO,GLG - Galpgeste,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
MTS-00111-01,Matosinhos,"R. Belchior Robles, 4450-626 Leça da Palmeira",GLG - Galpgeste,13.100,35,90,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
MTS-00111-02,Matosinhos,"R. Belchior Robles, 4450-626 Leça da Palmeira",GLG - Galpgeste,13.100,35,90,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
PRT-00136-02,Porto,"Rua da Pasteleira 219, 4150-586 Porto",MLT - Mobiletric,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
PRT-00137-01,Porto,"Rua da Pasteleira 219, 4150-586 Porto",MLT - Mobiletric,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
PRT-00137-02,Porto,"Rua da Pasteleira 219, 4150-586 Porto",MLT - Mobiletric,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
PRT-00138-01,Porto,"Rua da Pasteleira 219, 4150-586 Porto",MLT - Mobiletric,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
PRT-00138-02,Porto,"Rua da Pasteleira 219, 4150-586 Porto",MLT - Mobiletric,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
VLG-00017-02,Valongo,Av. dos Descobrimentos 34,GLG - Galpgeste,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
VNG-00082-02,Vila Nova de Gaia,"Lado Shopping, Via 8",GLG - Galpgeste,13.100,35,120,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
VNG-00115-01,Vila Nova de Gaia,"R. Rechousa 706-710, 4410-222 Canelas",GLG - Galpgeste,13.100,35,90,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
VNG-00115-02,Vila Nova de Gaia,"R. Rechousa 706-710, 4410-222 Canelas",GLG - Galpgeste,13.100,35,90,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
MTS-00074-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,13.100,46,60,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Em uso
MTS-00094-01,Matosinhos,ESTRADA EXT. DA CIRCUNVALAÇÃO,GLG - Galpgeste,13.100,46,60,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
VNG-00081-02,Vila Nova de Gaia,"Rua Escola Central, 910",GLP - Galp,13.100,46,60,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
